ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,restrictedMask,restrictedExecuted,restrictedDetourDistance,travel,setup,move
1,101,237.607,24,24,283.86450004577637,10,0,3,0,0,2.092089106967016,17.118334310227844,80.0,171.18334310227846
2,102,290.014,24,24,259.98590183258057,5,0,3,0,0,2.9804793164760497,25.046980068307583,170.0,250.46980068307582
3,103,427.186,24,24,270.09159660339355,5,0,29,0,0,2.236841526019333,24.694656187856694,130.0,246.94656187856697
4,104,325.283,24,24,259.53779888153076,15,0,18,0,0,4.425138657502927,28.20733176791887,90.0,282.07331767918873
5,105,304.988,24,24,289.4822497367859,2,0,14,0,0,0.0,15.059170417868826,120.0,150.59170417868825
6,106,396.136,24,24,265.5937123298645,3,0,15,0,0,6.506047181908439,38.020945854213245,150.0,380.20945854213255
7,107,329.933,24,24,285.45646381378174,2,0,18,0,0,0.0,13.478416943026701,130.0,134.784169430267
8,108,282.1,24,24,286.1379108428955,1,0,2,0,0,0.0,17.873633047682297,140.0,178.736330476823
9,109,377.755,24,24,282.32164478302,1,0,16,0,0,0.0,20.594508209673776,140.0,205.9450820967378
10,110,268.135,24,24,294.7002296447754,4,0,8,0,0,1.6231954962312756,12.665910561390945,100.0,126.65910561390947
11,101,361.956,24,24,263.914288520813,1,0,10,0,0,6.921215692890874,28.6190060348007,180.0,286.19006034800697
12,102,376.612,24,24,259.78226470947266,3,0,22,0,0,6.840538473537364,32.392413312063404,170.0,323.92413312063405
13,103,314.843,24,24,266.2575874328613,3,0,8,0,0,5.904449525747715,34.141360662967614,160.0,341.4136066296761
14,104,392.799,24,24,257.7727222442627,5,0,26,0,0,5.44970491398834,35.75757626330406,160.0,357.57576263304054
15,105,277.168,24,24,287.7919521331787,0,0,7,0,0,0.0,10.693498828484023,150.0,106.93498828484024
16,106,377.931,24,24,259.82892513275146,1,0,14,0,0,4.538024400639227,42.23688739813746,180.0,422.3688739813746
17,107,353.935,24,24,279.35572957992554,2,0,10,0,0,0.13230076704390825,20.480908830724555,140.0,204.80908830724553
18,108,314.011,24,24,251.56225776672363,8,0,11,0,0,0.0,18.12577358731962,170.0,181.2577358731963
19,109,413.691,24,24,268.4671964645386,1,0,41,0,0,0.0,16.776004136982614,170.0,167.76004136982615
20,110,288.343,24,24,293.3999500274658,2,0,15,0,0,1.6231954962312756,18.666834252040594,110.0,186.66834252040596
21,101,330.748,24,24,266.2961039543152,8,0,13,0,0,0.0,22.34629563596743,130.0,223.46295635967425
22,102,285.772,24,24,267.8615493774414,3,0,9,0,0,2.2761390027135064,18.794825360429332,170.0,187.9482536042933
23,103,365.305,24,24,269.5501470565796,5,0,14,0,0,0.0,23.166165380341752,140.0,231.66165380341755
24,104,329.468,24,24,276.19168281555176,5,0,12,0,0,0.0,19.361053415970215,130.0,193.61053415970218
25,105,326.098,24,24,290.0329546928406,0,0,7,0,0,0.0,9.890165913349072,140.0,98.90165913349071
26,106,330.85,24,24,259.68983030319214,1,0,8,0,0,1.1710795132158722,34.36720075385194,190.0,343.6720075385194
27,107,396.321,24,24,241.0083498954773,11,0,17,0,0,0.0,18.3054747625926,170.0,183.05474762592598
28,108,292.947,24,24,278.6462388038635,1,0,13,0,0,2.0621292461116525,21.17920425468809,150.0,211.7920425468809
29,109,362.642,24,24,269.6243143081665,3,0,24,0,0,0.8216427805006248,24.585618558994128,150.0,245.85618558994136
30,110,293.288,24,24,275.0118465423584,3,0,13,0,0,0.0,16.627160022941563,150.0,166.2716002294156
31,101,341.22,24,24,267.0081729888916,5,0,9,0,0,3.8821940921918383,23.306073687583453,150.0,233.06073687583455
32,102,305.973,24,24,271.131986618042,2,0,10,0,0,8.987706193207913,39.56003462702771,150.0,395.60034627027704
33,103,301.977,24,24,270.5372085571289,4,0,18,0,0,7.562469726657076,23.209303690009907,150.0,232.09303690009912
34,104,283.076,24,24,295.8560104370117,3,0,12,0,0,5.299185578193104,18.81329433564152,100.0,188.1329433564152
35,105,268.207,24,24,282.2710380554199,0,0,6,0,0,0.0,10.763222546972013,160.0,107.63222546972013
36,106,272.032,24,24,276.52511739730835,1,0,4,0,0,6.916014388512586,34.916238397262845,150.0,349.16238397262833
37,107,364.791,24,24,265.6294860839844,7,0,25,0,0,0.0,16.235040187331904,140.0,162.35040187331904
38,108,278.105,24,24,277.0753231048584,2,0,3,0,0,0.0,19.748927206236793,150.0,197.4892720623679
39,109,327.839,24,24,276.66643476486206,2,0,21,0,0,0.0,17.778546533167194,150.0,177.78546533167193
40,110,373.389,24,24,274.91548109054565,0,0,15,0,0,0.0,15.281699504912961,170.0,152.8169950491296
41,101,304.074,24,24,269.8188133239746,4,0,11,0,0,4.570852900595803,23.93724611196035,150.0,239.37246111960346
42,102,291.562,24,24,264.8192090988159,3,0,9,0,0,0.0,25.602639222010865,170.0,256.0263922201087
43,103,386.252,24,24,255.80058670043945,7,0,18,0,0,6.404926869877883,35.66469690179715,150.0,356.64696901797146
44,104,358.992,24,24,287.33510160446167,5,0,19,0,0,0.0,17.216320500441032,100.0,172.16320500441034
45,105,291.295,24,24,291.1547555923462,1,0,7,0,0,0.0,14.484133821920892,130.0,144.84133821920892
46,106,312.623,24,24,268.48719596862793,2,0,8,0,0,4.493101552087346,35.04268344477326,160.0,350.4268344477325
47,107,313.002,24,24,277.9378604888916,7,0,20,0,0,4.060308018770616,15.207129804757875,110.0,152.07129804757875
48,108,328.169,24,24,270.44490814208984,4,0,11,0,0,0.0,23.51696616780289,150.0,235.16966167802894
49,109,339.963,24,24,260.1271390914917,10,0,8,0,0,0.0,22.909498315899132,130.0,229.0949831589914
50,110,365.999,24,24,273.6605706214905,0,0,17,0,0,0.0,19.46472949557923,170.0,194.64729495579235
51,101,292.147,24,24,267.542688369751,10,0,13,0,0,0.0,16.524372579706853,120.0,165.24372579706858
52,102,304.198,24,24,263.34531116485596,2,0,5,0,0,1.602097519423154,25.515630550594256,180.0,255.15630550594256
53,103,352.407,24,24,259.2005863189697,3,0,19,0,0,5.28062653111162,25.998036610592056,180.0,259.98036610592055
54,104,342.976,24,24,280.01594161987305,5,0,10,0,0,0.0,19.946869797075436,120.0,199.46869797075436
55,105,277.756,24,24,289.49774742126465,1,0,4,0,0,0.0,11.674158978997154,140.0,116.74158978997153
56,106,328.715,24,24,265.378071308136,2,0,13,0,0,1.6571550170303126,27.073091490181834,170.0,270.7309149018184
57,107,327.766,24,24,266.6731061935425,2,0,13,0,0,0.0,14.42298082892631,180.0,144.2298082892631
58,108,338.981,24,24,290.8799743652344,0,0,16,0,0,0.0,15.400091077432595,130.0,154.00091077432597
59,109,461.993,24,24,274.5125150680542,1,0,24,0,0,0.0,23.29158723235813,150.0,232.91587232358128
60,110,389.783,24,24,274.97576665878296,2,0,29,0,0,0.0,16.747435907140495,150.0,167.47435907140496
61,101,268.129,24,24,271.33828926086426,1,0,4,0,0,0.0,17.205672315357447,180.0,172.05672315357447
62,102,424.24,24,24,244.84246587753296,10,0,17,0,0,15.39421597915663,37.19177453235213,150.0,371.9177453235212
63,103,484.776,24,24,253.18360328674316,3,0,34,0,0,5.904449525747715,29.38799036729789,180.0,293.8799036729789
64,104,395.015,24,24,264.9417796134949,6,0,19,0,0,5.558870987255496,28.527386596781586,140.0,285.2738659678159
65,105,266.466,24,24,288.17417335510254,0,0,3,0,0,0.0,11.086088083406414,150.0,110.86088083406413
66,106,351.889,24,24,265.19905138015747,0,0,11,0,0,1.1710795132158722,29.336495771370927,180.0,293.36495771370926
67,107,291.168,24,24,267.78801345825195,3,0,2,0,0,1.4032159168867793,19.03992854479529,170.0,190.39928544795288
68,108,340.544,24,24,268.71824836730957,7,0,8,0,0,0.0,24.27250645792926,130.0,242.72506457929256
69,109,339.993,24,24,268.2411127090454,3,0,17,0,0,0.0,25.862960605699694,160.0,258.6296060569969
70,110,289.008,24,24,283.53229999542236,3,0,5,0,0,2.9086219802621116,19.892324005584715,130.0,198.92324005584717
71,101,297.068,24,24,280.09787034988403,5,0,8,0,0,0.0,19.673764662562867,120.0,196.7376466256287
72,102,351.695,24,24,266.4724087715149,2,0,12,0,0,5.604735686882755,36.758591183918334,160.0,367.5859118391832
73,103,293.284,24,24,271.7397017478943,3,0,12,0,0,5.28062653111162,29.200993905381473,150.0,292.0099390538148
74,104,325.219,24,24,276.9585590362549,3,0,10,0,0,2.8747618737194642,23.471450519720456,140.0,234.71450519720457
75,105,259.352,24,24,286.8417282104492,3,0,3,0,0,0.0,12.194209865518848,130.0,121.94209865518846
76,106,389.297,24,24,276.1223111152649,0,0,29,0,0,2.2763483152811546,27.92560321461185,150.0,279.2560321461185
77,107,315.962,24,24,278.3738431930542,6,0,15,0,0,0.0,12.087176708012132,120.0,120.87176708012133
78,108,266.9,24,24,294.0261287689209,0,0,6,0,0,0.0,14.912903521900985,130.0,149.12903521900986
79,109,345.957,24,24,268.2128643989563,3,0,13,0,0,3.3994582070788155,20.957106046324604,160.0,209.5710604632461
