ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,restrictedMask,restrictedExecuted,restrictedDetourDistance,travel,setup,move
1,101,278.568,24,24,289.71031379699707,2,0,6,0,0,0.0,10.965605414167577,130.0,109.65605414167577
2,102,313.404,24,24,274.5000171661377,4,0,8,0,0,0.1276368635821683,26.66658363693658,140.0,266.6658363693658
3,103,336.763,24,24,271.32182216644287,4,0,13,0,0,1.7484625585152926,27.26059021206421,140.0,272.60590212064204
4,104,328.603,24,24,285.32603645324707,0,0,13,0,0,3.553350769449196,25.579875561480904,140.0,255.7987556148091
5,105,278.318,24,24,296.3112049102783,1,0,4,0,0,0.0,10.629269713149405,120.0,106.29269713149407
6,106,329.036,24,24,280.7561264038086,1,0,16,0,0,2.2763483152811546,25.81289554027873,140.0,258.1289554027873
7,107,352.549,24,24,267.18566036224365,8,0,20,0,0,0.0,14.381120459258845,130.0,143.81120459258847
8,108,426.974,24,24,264.1936855316162,2,0,18,0,0,9.989851035976393,39.35437697721126,160.0,393.5437697721125
9,109,302.922,24,24,268.29192447662354,6,0,6,0,0,0.0,27.36023216393237,140.0,273.6023216393237
10,110,326.849,24,24,280.7374725341797,1,0,10,0,0,4.8648557209163314,32.5417517867274,140.0,325.417517867274
11,101,295.407,24,24,274.49928188323975,5,0,4,0,0,0.0,16.6690571960582,140.0,166.690571960582
12,102,279.527,24,24,270.7690658569336,5,0,10,0,0,0.0,17.43644212639362,150.0,174.3644212639362
13,103,344.245,24,24,268.97552847862244,2,0,12,0,0,9.008983644902214,28.414893949003996,160.0,284.14893949003994
14,104,402.576,24,24,282.1024775505066,3,0,21,0,0,3.553350769449196,22.991712677165,120.0,229.91712677164998
15,105,277.809,24,24,291.68043327331543,0,0,4,0,0,0.0,11.065205056832028,140.0,110.65205056832025
16,106,284.782,24,24,276.74335765838623,0,0,6,0,0,1.6571550170303126,27.522139618138436,160.0,275.22139618138436
17,107,353.317,24,24,284.10086393356323,1,0,18,0,0,0.0,14.663786089352158,140.0,146.6378608935216
18,108,302.717,24,24,278.8646159172058,1,0,14,0,0,0.0,18.784611697131933,150.0,187.84611697131933
19,109,359.427,24,24,260.9810333251953,9,0,21,0,0,2.5161836944080633,20.063213305625236,130.0,200.63213305625234
20,110,273.827,24,24,293.29490661621094,0,0,3,0,0,1.6231954962312756,19.016971267780907,130.0,190.1697126778091
21,101,285.473,24,24,282.62656021118164,2,0,4,0,0,0.0,21.244793809420855,140.0,212.4479380942085
22,102,278.246,24,24,268.50735664367676,4,0,3,0,0,0.9319698619090229,21.642145115987685,160.0,216.42145115987685
23,103,368.684,24,24,261.1197748184204,3,0,14,0,0,3.154610187752702,31.267372317992844,170.0,312.6737231799284
24,104,279.55,24,24,291.95530462265015,5,0,8,0,0,0.5638740661789008,21.815652859900297,90.0,218.15652859900297
25,105,267.668,24,24,294.1780467033386,0,0,3,0,0,0.0,11.073168123708285,130.0,110.73168123708287
26,106,271.246,24,24,283.1021933555603,0,0,4,0,0,0.0,24.659336230146085,150.0,246.5933623014608
27,107,330.126,24,24,274.43515062332153,3,0,16,0,0,0.0,13.549481292215994,150.0,135.49481292215995
28,108,305.795,24,24,291.1702709197998,0,0,10,0,0,0.5645090223186848,21.099091313052114,130.0,210.9909131305211
29,109,425.553,24,24,269.8286647796631,2,0,20,0,0,5.333814931597459,33.904401549638116,150.0,339.0440154963812
30,110,296.278,24,24,296.92806339263916,0,0,13,0,0,0.0,13.57311526208749,120.0,135.73115262087492
31,101,261.672,24,24,281.454439163208,7,0,3,0,0,0.0,18.485197292266523,110.0,184.85197292266523
32,102,394.093,24,24,269.9771776199341,4,0,18,0,0,0.0,26.74272413364935,140.0,267.42724133649347
33,103,357.04,24,24,280.12112045288086,0,0,13,0,0,7.974416899134553,24.596252531163177,150.0,245.9625253116318
34,104,279.265,24,24,283.15685415267944,8,0,5,0,0,0.6640522744630175,21.143809213206268,90.0,211.43809213206268
35,105,272.491,24,24,312.94426345825195,2,0,4,0,0,0.0,11.85245635193522,70.0,118.52456351935223
36,106,353.993,24,24,276.2399854660034,3,0,21,0,0,1.3389214074050315,29.200042712932383,130.0,292.0004271293237
37,107,357.782,24,24,278.0394926071167,2,0,18,0,0,2.4256765966617664,24.86835245138511,140.0,248.68352451385107
38,108,306.626,24,24,286.5901165008545,3,0,11,0,0,0.0,18.03293782504348,120.0,180.32937825043481
39,109,292.001,24,24,288.84618377685547,2,0,5,0,0,0.37281415263769446,25.512715033959132,120.0,255.12715033959134
40,110,279.498,24,24,296.159423828125,2,0,5,0,0,1.6231954962312756,14.468584229112224,110.0,144.68584229112224
41,101,256.727,24,24,289.0873317718506,6,0,7,0,0,0.0,13.042233425088163,100.0,130.42233425088162
42,102,268.053,24,24,288.8718795776367,7,0,4,0,0,3.3933741423388852,28.760407912908644,80.0,287.6040791290865
43,103,349.414,24,24,295.6651315689087,0,0,19,0,0,7.799716013200907,21.11623447094348,110.0,211.1623447094348
44,104,265.372,24,24,291.73672103881836,6,0,5,0,0,0.0,15.877606711949525,90.0,158.77606711949525
45,105,247.184,24,24,309.0684452056885,1,0,2,0,0,0.0,9.771848264687602,90.0,97.71848264687601
46,106,256.061,24,24,290.223650932312,0,0,5,0,0,3.2795299897802863,24.254507586766465,130.0,242.54507586766462
47,107,390.993,24,24,286.01244497299194,1,0,33,0,0,16.51934080264353,16.625188737434428,130.0,166.25188737434428
