level,ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
L1_2C12L,1,101,244.955,12,12,165.5300579071045,3,0,3,21.566475061510037,110.0,215.66475061510033
L1_2C12L,2,102,247.502,12,12,166.78972792625427,4,0,6,17.367575004396386,100.0,173.67575004396383
L1_2C12L,3,103,287.588,12,12,173.84913969039917,4,0,6,20.502868923396644,80.0,205.02868923396642
L1_2C12L,4,104,192.156,12,12,186.33503413200378,2,0,2,13.883210652513423,70.0,138.8321065251342
L1_2C12L,5,105,292.683,12,12,173.57281684875488,2,0,6,14.757286974277203,100.0,147.57286974277204
L1_2C12L,6,106,212.83,12,12,184.53103280067444,2,0,4,18.229885255957083,70.0,182.29885255957086
L1_2C12L,7,107,185.329,12,12,190.02957367897034,4,0,0,11.56808766100892,50.0,115.6808766100892
L1_2C12L,8,108,198.17,12,12,183.9867753982544,5,0,1,10.044081875442272,60.0,100.44081875442271
L1_2C12L,9,109,208.783,12,12,179.08681201934814,2,0,2,16.377303639825495,90.0,163.773036398255
L1_2C12L,10,110,230.266,12,12,181.31994581222534,0,0,4,12.2668655615348,100.0,122.66865561534802
L1_2C12L,11,101,207.799,12,12,178.92856121063232,2,0,1,16.9047919855295,90.0,169.04791985529496
L1_2C12L,12,102,224.239,12,12,185.581157207489,2,0,4,18.062807007957304,70.0,180.62807007957304
L1_2C12L,13,103,228.431,12,12,185.3998794555664,3,0,2,8.667066901000007,70.0,86.67066901000007
L1_2C12L,14,104,238.532,12,12,184.87803506851196,2,0,4,13.739883715279843,70.0,137.39883715279842
L1_2C12L,15,105,195.506,12,12,181.8954722881317,4,0,2,12.015106101698935,70.0,120.15106101698935
L1_2C12L,16,106,209.185,12,12,184.13149881362915,0,0,2,14.561686726751562,90.0,145.61686726751557
L1_2C12L,17,107,225.965,12,12,189.22069644927979,1,0,4,15.931029104221855,70.0,159.31029104221855
L1_2C12L,18,108,199.56,12,12,191.50235652923584,2,0,3,11.65881204478655,60.0,116.58812044786552
L1_2C12L,19,109,219.511,12,12,185.20677185058594,0,0,2,14.310766204800109,90.0,143.10766204800112
L1_2C12L,20,110,195.734,12,12,190.2140097618103,1,0,0,14.286632248467267,70.0,142.86632248467265
L1_2C12L,21,101,207.585,12,12,176.31950998306274,3,0,1,15.601616915419788,90.0,156.01616915419788
L1_2C12L,22,102,236.621,12,12,193.5609836578369,1,0,7,11.463389704244296,60.0,114.63389704244298
L1_2C12L,23,103,239.544,12,12,184.06599617004395,2,0,4,9.779990533461556,80.0,97.79990533461557
L1_2C12L,24,104,244.743,12,12,188.05064249038696,3,0,5,9.831197375988149,60.0,98.31197375988147
L1_2C12L,25,105,231.486,12,12,182.44740962982178,1,0,2,11.841964790633508,90.0,118.4196479063351
L1_2C12L,26,106,213.002,12,12,193.6554856300354,1,0,2,14.48171689862646,60.0,144.81716898626462
L1_2C12L,27,107,185.501,12,12,196.59807300567627,2,0,1,11.339758811399893,50.0,113.3975881139989
L1_2C12L,28,108,238.085,12,12,179.28536820411682,1,0,1,9.048762039435925,100.0,90.48762039435925
L1_2C12L,29,109,219.487,12,12,189.43164920806885,0,0,2,11.894497968561403,80.0,118.94497968561404
L1_2C12L,30,110,245.205,12,12,170.20427560806274,2,0,5,15.985740895119191,110.0,159.85740895119193
L1_2C12L,31,101,237.067,12,12,181.8129653930664,2,0,2,17.290128968407654,80.0,172.90128968407654
L1_2C12L,32,102,229.14,12,12,187.0482416152954,1,0,3,9.839177684805176,80.0,98.39177684805175
L1_2C12L,33,103,192.379,12,12,189.1743025779724,2,0,1,7.752306975362035,70.0,77.52306975362035
L1_2C12L,34,104,228.295,12,12,189.94430255889893,2,0,6,13.518993291742586,60.0,135.18993291742584
L1_2C12L,35,105,205.838,12,12,181.80705070495605,3,0,1,10.643162315229306,80.0,106.43162315229307
L1_2C12L,36,106,212.079,12,12,183.39756107330322,2,0,2,13.674782083874316,80.0,136.7478208387431
L1_2C12L,37,107,189.205,12,12,199.08478546142578,1,0,3,11.384051964585076,50.0,113.84051964585078
L1_2C12L,38,108,244.106,12,12,183.97216367721558,2,0,5,10.092796400476438,80.0,100.92796400476439
L1_2C12L,39,109,206.235,12,12,179.55298328399658,2,0,1,14.823407038557265,90.0,148.23407038557266
L1_2C12L,40,110,230.265,12,12,187.35380268096924,1,0,3,8.820653579539494,80.0,88.20653579539493
L1_2C12L,41,101,199.759,12,12,197.09634971618652,0,0,0,14.678826887148276,60.0,146.78826887148276
L1_2C12L,42,102,221.873,12,12,171.2895565032959,3,0,2,19.034822173392076,100.0,190.34822173392075
L1_2C12L,43,103,228.29,12,12,186.11755180358887,0,0,2,9.608150175905365,90.0,96.08150175905365
L1_2C12L,44,104,207.986,12,12,187.94858169555664,0,0,2,16.83807524510755,80.0,168.38075245107552
L1_2C12L,45,105,195.573,12,12,190.86870861053467,0,0,1,8.770953519647023,80.0,87.70953519647021
L1_2C12L,46,106,225.219,12,12,183.79549646377563,1,0,2,20.681673482877873,80.0,206.81673482877875
L1_2C12L,47,107,185.885,12,12,196.89762210845947,2,0,1,10.341262199955278,50.0,103.41262199955277
L1_2C12L,48,108,207.971,12,12,179.51019668579102,5,0,1,9.966009321723362,70.0,99.66009321723362
L1_2C12L,49,109,221.645,12,12,181.31190490722656,1,0,0,18.960325201223956,90.0,189.60325201223955
L1_2C12L,50,110,218.557,12,12,180.08731603622437,3,0,2,16.375614903849563,80.0,163.75614903849564
L1_2C12L,51,101,199.39,12,12,187.89162635803223,0,0,0,18.69458012595246,80.0,186.94580125952461
L1_2C12L,52,102,217.699,12,12,190.7360372543335,0,0,3,7.546540684541224,80.0,75.46540684541223
L1_2C12L,53,103,229.734,12,12,180.8022689819336,3,0,2,10.659122705518783,80.0,106.59122705518786
L1_2C12L,54,104,199.038,12,12,191.41228866577148,2,0,2,13.62569096611095,60.0,136.2569096611095
L1_2C12L,55,105,199.053,12,12,197.36082935333252,0,0,1,13.797240250596124,60.0,137.9724025059612
L1_2C12L,56,106,217.077,12,12,187.97709131240845,0,0,2,13.409689694398212,80.0,134.0968969439821
L1_2C12L,57,107,249.253,12,12,196.83978581428528,1,0,11,10.534050545991345,50.0,105.34050545991346
L1_2C12L,58,108,209.563,12,12,187.71675395965576,2,0,3,10.944145580295727,70.0,109.4414558029573
L1_2C12L,59,109,232.66,12,12,189.88912677764893,0,0,3,10.369558231893192,80.0,103.69558231893195
L1_2C12L,60,110,223.228,12,12,184.48437929153442,0,0,3,15.052073326699746,90.0,150.5207332669975
L1_2C12L,61,101,214.289,12,12,194.3042025566101,1,0,1,12.319323039123883,60.0,123.19323039123884
L1_2C12L,62,102,218.243,12,12,194.31739377975464,0,0,3,8.942012203472993,70.0,89.42012203472993
L1_2C12L,63,103,218.351,12,12,191.2091941833496,1,0,3,9.302685970333538,70.0,93.02685970333539
L1_2C12L,64,104,271.937,12,12,178.1636519432068,3,0,8,16.121160858140417,80.0,161.21160858140416
L1_2C12L,65,105,191.662,12,12,185.81735038757324,4,0,2,13.942170139706633,60.0,139.42170139706633
L1_2C12L,66,106,214.069,12,12,185.12273406982422,2,0,3,19.590880106525955,70.0,195.90880106525955
L1_2C12L,67,107,229.655,12,12,176.8417854309082,4,0,3,13.860700846254225,80.0,138.60700846254227
L1_2C12L,68,108,218.422,12,12,180.15931510925293,2,0,3,9.468949101578936,90.0,94.68949101578934
L1_2C12L,69,109,220.629,12,12,173.38484954833984,1,0,0,18.717191086313857,110.0,187.17191086313858
L1_2C12L,70,110,305.974,12,12,180.0271987915039,2,0,9,16.57600468414063,80.0,165.76004684140634
L1_2C12L,71,101,208.472,12,12,179.71639251708984,2,0,0,14.278690689592825,90.0,142.78690689592824
L1_2C12L,72,102,219.86,12,12,176.12246894836426,2,0,0,12.925098936210514,100.0,129.25098936210512
L1_2C12L,73,103,207.28,12,12,169.7504620552063,4,0,1,10.831789547708347,100.0,108.31789547708345
L1_2C12L,74,104,244.743,12,12,191.0506420135498,2,0,5,9.831197375988149,60.0,98.31197375988147
L1_2C12L,75,105,234.527,12,12,173.4360375404358,4,0,3,11.879871649317149,90.0,118.79871649317148
L1_2C12L,76,106,211.991,12,12,183.5355043411255,2,0,2,13.214983725450903,80.0,132.14983725450904
L1_2C12L,77,107,199.425,12,12,190.16890048980713,1,0,1,14.436984432609902,70.0,144.36984432609904
L1_2C12L,78,108,218.645,12,12,184.11812448501587,2,0,3,9.606257420727191,80.0,96.06257420727192
L1_2C12L,79,109,270.983,12,12,188.59668684005737,0,0,8,11.344377586519116,80.0,113.44377586519117
L1_2C12L,80,110,220.393,12,12,189.63553094863892,0,0,4,11.214885759521977,80.0,112.14885759521977
L1_2C12L,81,101,258.923,12,12,184.89468574523926,1,0,6,13.684398998634638,80.0,136.8439899863464
L1_2C12L,82,102,196.029,12,12,187.84021425247192,1,0,1,8.865969966640668,80.0,88.65969966640668
L1_2C12L,83,103,276.531,12,12,175.46984195709229,3,0,7,11.76719850034786,90.0,117.6719850034786
L1_2C12L,84,104,244.743,12,12,191.05064249038696,2,0,5,9.831197375988149,60.0,98.31197375988147
L1_2C12L,85,105,203.904,12,12,167.52304458618164,6,0,2,14.923193244127331,90.0,149.2319324412733
L1_2C12L,86,106,207.474,12,12,190.80964946746826,1,0,2,12.301164328900866,70.0,123.01164328900866
L1_2C12L,87,107,210.112,12,12,188.66163086891174,3,0,2,11.127894745227604,60.0,111.27894745227604
L1_2C12L,88,108,218.865,12,12,187.0521161556244,1,0,3,9.826298770651153,80.0,98.26298770651154
L1_2C12L,89,109,268.907,12,12,189.20615577697754,0,0,5,9.312793584636152,80.0,93.12793584636152
L1_2C12L,90,110,230.265,12,12,187.35380268096924,1,0,3,8.820653579539494,80.0,88.20653579539493
L1_2C12L,91,101,215.857,12,12,177.35323524475098,0,0,1,15.489230800457978,110.0,154.89230800457977
L1_2C12L,92,102,198.227,12,12,188.74309635162354,2,0,0,10.856344223131767,70.0,108.56344223131768
L1_2C12L,93,103,192.379,12,12,193.215594291687,2,0,2,7.614687855250931,60.0,76.14687855250932
L1_2C12L,94,104,247.626,12,12,176.99476289749146,5,0,4,13.35079647815033,70.0,133.50796478150335
L1_2C12L,95,105,195.356,12,12,188.42679405212402,1,0,1,8.57735031286894,80.0,85.7735031286894
L1_2C12L,96,106,200.388,12,12,191.0165023803711,1,0,2,11.611655527667148,70.0,116.11655527667149
L1_2C12L,97,107,245.823,12,12,194.01584815979004,1,0,5,9.947177664111784,60.0,99.47177664111784
L1_2C12L,98,108,247.05,12,12,185.82845067977905,1,0,6,10.57182526113321,80.0,105.71825261133209
L1_2C12L,99,109,218.506,12,12,184.5652675628662,0,0,0,16.449103704780388,90.0,164.49103704780387
L1_2C12L,100,110,206.39,12,12,189.9884490966797,0,0,1,11.705159625031117,80.0,117.05159625031115
