level,ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
L1_2C12L,1,101,281.218,12,12,168.05737113952637,2,0,7,19.80875989962465,110.0,198.08759899624653
L1_2C12L,2,102,229.233,12,12,187.02055549621582,1,0,1,9.931463853961347,80.0,99.31463853961347
L1_2C12L,3,103,228.328,12,12,182.25107526779175,1,0,3,9.163084980695826,90.0,91.63084980695827
L1_2C12L,4,104,284.592,12,12,189.21260929107666,2,0,10,12.624633297766156,60.0,126.24633297766155
L1_2C12L,5,105,208.733,12,12,186.2809181213379,1,0,0,14.063603199423154,80.0,140.63603199423153
L1_2C12L,6,106,197.283,12,12,193.41516733169556,1,0,2,13.61611260120056,60.0,136.1611260120056
L1_2C12L,7,107,199.254,12,12,179.12877893447876,5,0,2,11.237409109676396,70.0,112.37409109676399
L1_2C12L,8,108,290.009,12,12,187.58275651931763,2,0,13,18.057477766880677,60.0,180.57477766880677
L1_2C12L,9,109,212.944,12,12,188.74113082885742,0,0,1,15.862888187363037,80.0,158.62888187363038
L1_2C12L,10,110,279.672,12,12,172.52244424819946,1,0,9,14.925176510329461,110.0,149.25176510329464
L1_2C12L,11,101,281.13,12,12,179.40011501312256,0,0,7,15.33296024364406,100.0,153.3296024364406
L1_2C12L,12,102,213.03,12,12,169.71755838394165,3,0,2,10.941493535336063,110.0,109.41493535336063
L1_2C12L,13,103,196.266,12,12,190.4126787185669,0,0,2,8.624388406127505,80.0,86.24388406127505
L1_2C12L,14,104,214.421,12,12,182.52699756622314,3,0,2,18.2433597720576,70.0,182.43359772057605
L1_2C12L,15,105,356.554,12,12,178.0336718559265,1,0,15,16.55442996260091,90.0,165.54429962600912
L1_2C12L,16,106,212.388,12,12,189.93749904632568,1,0,1,13.541648339645665,70.0,135.41648339645667
L1_2C12L,17,107,199.945,12,12,190.53541660308838,1,0,2,14.881950347181979,70.0,148.81950347181981
L1_2C12L,18,108,237.043,12,12,200.92601871490479,0,0,7,10.246603715977113,50.0,102.46603715977115
L1_2C12L,19,109,238.71,12,12,184.49099206924438,1,0,3,18.363343777204562,80.0,183.6334377720456
L1_2C12L,20,110,203.767,12,12,184.0291452407837,1,0,0,23.236195917139117,80.0,232.36195917139116
L1_2C12L,21,101,198.095,12,12,192.28396272659302,0,0,0,17.38679766812326,70.0,173.86797668123262
L1_2C12L,22,102,228.173,12,12,183.3385133743286,2,0,4,8.871622296329793,80.0,88.71622296329792
L1_2C12L,23,103,228.355,12,12,188.42272996902466,2,0,3,8.590899348926058,70.0,85.90899348926058
L1_2C12L,24,104,213.95,12,12,175.01491832733154,4,0,2,18.283603589442446,80.0,182.83603589442444
L1_2C12L,25,105,212.533,12,12,183.10712051391602,2,0,1,14.642933540747425,80.0,146.42933540747424
L1_2C12L,26,106,200.043,12,12,191.6408805847168,2,0,3,11.197066417829593,60.0,111.97066417829595
L1_2C12L,27,107,199.197,12,12,179.50992441177368,3,0,1,16.633591092222073,80.0,166.33591092222076
L1_2C12L,28,108,209.166,12,12,191.81366443634033,2,0,1,10.621121804812882,60.0,106.21121804812883
L1_2C12L,29,109,216.657,12,12,181.99695014953613,0,0,1,11.676843744133098,100.0,116.76843744133099
L1_2C12L,30,110,256.716,12,12,180.16798734664917,1,0,3,19.4400644043708,90.0,194.40064404370793
L1_2C12L,31,101,234.627,12,12,181.1879425048828,1,0,3,16.040201478293707,90.0,160.4020147829371
L1_2C12L,32,102,207.63,12,12,195.24675464630127,1,0,4,9.177491739556686,60.0,91.77491739556686
L1_2C12L,33,103,192.782,12,12,183.59464740753174,5,0,1,8.017843992740124,60.0,80.17843992740126
L1_2C12L,34,104,203.569,12,12,186.29360389709473,2,0,1,17.35464848677101,70.0,173.54648486771006
L1_2C12L,35,105,219.552,12,12,185.16179585456848,3,0,3,9.460682992841203,70.0,94.60682992841203
L1_2C12L,36,106,213.808,12,12,183.06319952011108,2,0,2,14.78932288028591,80.0,147.8932288028591
L1_2C12L,37,107,197.366,12,12,191.31808137893677,2,0,1,13.939728235666985,60.0,139.39728235666985
L1_2C12L,38,108,207.399,12,12,182.46630764007568,3,0,1,8.44564226670044,80.0,84.45642266700442
