level,ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
L3_4C36L,1,101,363.538,36,36,386.04400968551636,9,0,35,16.519985912374594,130.0,165.199859123746
L3_4C36L,2,102,292.714,36,36,381.19567584991455,13,0,13,14.347747186382147,120.0,143.47747186382145
L3_4C36L,3,103,506.687,36,36,350.68599939346313,5,0,47,27.713341367945976,230.0,277.1334136794598
L3_4C36L,4,104,288.11,36,36,377.230504989624,13,0,4,14.231630866837689,140.0,142.3163086683769
L3_4C36L,5,105,448.667,36,36,354.10035133361816,14,0,36,12.998831596438093,170.0,129.98831596438092
L3_4C36L,6,106,368.271,36,36,378.10086822509766,10,0,28,26.33044016958859,140.0,263.30440169588593
L3_4C36L,7,107,322.009,36,36,348.42585468292236,22,0,18,25.247153680113016,130.0,252.47153680113007
L3_4C36L,8,108,339.733,36,36,371.88811779022217,10,0,18,13.706278141710898,170.0,137.062781417109
L3_4C36L,9,109,634.027,36,36,345.44413328170776,8,0,102,28.51956162806895,200.0,285.1956162806894
L3_4C36L,10,110,311.925,36,36,356.598002910614,16,0,15,11.339986341476868,170.0,113.39986341476869
L3_4C36L,11,101,388.725,36,36,404.3181037902832,2,0,37,12.272987624186857,140.0,122.7298762418686
L3_4C36L,12,102,345.135,36,36,377.47154712677,11,0,22,18.428194937888613,140.0,184.28194937888614
L3_4C36L,13,103,509.92,36,36,359.2382707595825,2,0,47,29.205757295573846,230.0,292.05757295573846
L3_4C36L,14,104,303.821,36,36,400.2579641342163,7,0,9,17.473433155345113,120.0,174.73433155345117
L3_4C36L,15,105,480.231,36,36,346.93940353393555,10,0,59,16.86865653901742,210.0,168.6865653901742
L3_4C36L,16,106,369.879,36,36,371.7654047012329,6,0,19,34.11531994561131,180.0,341.15319945611316
L3_4C36L,17,107,411.911,36,36,374.5058927536011,7,0,45,21.647034790393963,170.0,216.47034790393965
L3_4C36L,18,108,415.213,36,36,355.9814305305481,9,0,32,23.39521925616371,200.0,233.9521925616372
L3_4C36L,19,109,344.252,36,36,373.87403106689453,13,0,33,25.41987640135905,130.0,254.1987640135905
L3_4C36L,20,110,376.6,36,36,370.80250453948975,7,0,25,13.991645885153346,190.0,139.91645885153346
L3_4C36L,21,101,398.794,36,36,381.25144958496094,4,0,28,17.495142330704443,180.0,174.95142330704448
L3_4C36L,22,102,319.856,36,36,358.93367290496826,15,0,14,21.887771265779552,160.0,218.87771265779554
