ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,121,309.288,24,24,278.2016234397888,7,0,11,19.327907080695,110.0,193.27907080695
2,122,335.232,24,24,244.9345898628235,10,0,20,16.88466505849994,170.0,168.84665058499945
3,123,343.172,24,24,261.9400403499603,9,0,19,16.86653809898293,130.0,168.66538098982926
4,124,363.255,24,24,270.82673501968384,5,0,17,18.910863677275227,140.0,189.10863677275228
5,125,341.651,24,24,261.3409869670868,7,0,26,17.19670597815095,150.0,171.9670597815095
6,126,336.703,24,24,279.5034942626953,3,0,12,23.321688358395324,130.0,233.21688358395323
7,127,291.282,24,24,265.77191638946533,8,0,8,17.426948203032556,140.0,174.26948203032558
8,128,289.431,24,24,260.3109369277954,6,0,4,23.96352973093471,160.0,239.63529730934712
9,129,454.566,24,24,257.8749461174011,8,0,29,17.083493403482887,140.0,170.83493403482885
10,130,243.933,24,24,295.23326301574707,3,0,1,10.889105888041307,110.0,108.89105888041306
11,121,295.15,24,24,285.60860443115234,6,0,17,17.971319632007358,100.0,179.71319632007356
12,122,349.292,24,24,254.2188732624054,12,0,25,12.603736397606415,130.0,126.03736397606419
13,123,280.457,24,24,260.5303649902344,8,0,5,29.898781600446327,140.0,298.9878160044631
14,124,303.568,24,24,298.0015206336975,2,0,16,16.661561759611143,100.0,166.6156175961114
15,125,352.731,24,24,245.61135149002075,12,0,33,16.295486491135712,150.0,162.95486491135713
16,126,292.454,24,24,261.7498097419739,9,0,8,19.167288161603818,140.0,191.67288161603815
17,127,339.358,24,24,260.80307817459106,8,0,16,22.32305408278078,140.0,223.2305408278078
18,128,336.721,24,24,263.2777910232544,7,0,10,15.740695373414956,150.0,157.40695373414954
19,129,295.974,24,24,282.8487386703491,5,0,13,23.837539628205597,110.0,238.37539628205593
20,130,301.38,24,24,273.9808883666992,4,0,5,15.06370636950223,150.0,150.63706369502228
21,121,352.35,24,24,267.5129361152649,11,0,25,9.956852143256857,110.0,99.56852143256853
22,122,275.261,24,24,261.9753761291504,10,0,6,21.748750131967462,130.0,217.48750131967458
23,123,301.12,24,24,264.23571491241455,5,0,7,19.214273018979313,160.0,192.1427301897931
24,124,255.043,24,24,295.8175823688507,3,0,3,18.94139296516365,100.0,189.41392965163647
25,125,264.277,24,24,238.49986028671265,16,0,4,15.00046932896388,150.0,150.00469328963885
26,126,307.437,24,24,248.78826665878296,10,0,7,25.705733069165742,160.0,257.0573306916574
27,127,269.56,24,24,287.611328125,5,0,5,12.962243456839841,110.0,129.62243456839843
28,128,328.464,24,24,268.0143151283264,5,0,19,16.618916868251958,150.0,166.1891686825196
29,129,282.808,24,24,278.1560974121094,2,0,0,21.14635100439802,150.0,211.4635100439802
30,130,256.147,24,24,290.72028160095215,3,0,0,12.599037711363888,120.0,125.99037711363889
31,121,347.724,24,24,272.2631607055664,4,0,10,25.78945302078404,140.0,257.89453020784043
32,122,279.706,24,24,265.73524475097656,12,0,9,10.882524393000166,110.0,108.82524393000165
33,123,270.367,24,24,248.74442958831787,13,0,4,20.851894588303153,140.0,208.51894588303156
34,124,339.211,24,24,272.85503911972046,5,0,15,25.48317933027442,130.0,254.83179330274425
35,125,303.851,24,24,254.7351531982422,10,0,10,19.21614485820538,150.0,192.16144858205382
36,126,347.419,24,24,252.090416431427,7,0,16,23.031935249913982,170.0,230.31935249913977
37,127,244.535,24,24,303.42417335510254,3,0,3,10.252748222901863,90.0,102.52748222901862
38,128,344.598,24,24,245.98775053024292,8,0,11,18.374145887778553,180.0,183.74145887778548
39,129,281.219,24,24,266.02636337280273,8,0,7,14.912121560731064,140.0,149.12121560731066
