ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,101,259.103,24,24,277.03708696365356,9,0,11,15.771522557554624,90.0,157.71522557554627
2,102,305.444,24,24,243.45421028137207,13,0,15,18.40964223390567,140.0,184.09642233905672
3,103,539.207,24,24,252.43572425842285,3,0,26,30.940456251188756,150.0,309.40456251188755
4,104,360.971,24,24,270.0876302719116,10,0,20,19.020611228693856,90.0,190.20611228693855
5,105,257.359,24,24,271.9773850440979,7,0,3,8.371014675836353,130.0,83.71014675836354
6,106,256.209,24,24,274.64869689941406,7,0,3,18.08550284573506,110.0,180.85502845735064
7,107,293.302,24,24,252.51308631896973,11,0,7,14.978178119894075,140.0,149.7817811989408
8,108,342.325,24,24,260.1674542427063,9,0,17,13.887574377987162,130.0,138.8757437798716
9,109,364.257,24,24,236.4458785057068,12,0,20,19.256864990927642,160.0,192.56864990927642
10,110,316.554,24,24,265.8980586528778,6,0,13,15.169897267404577,140.0,151.69897267404576
11,101,315.519,24,24,269.32627534866333,2,0,5,23.622857980972018,150.0,236.22857980972017
12,102,362.127,24,24,256.1945812702179,5,0,28,40.50902805482139,130.0,405.0902805482139
13,103,316.708,24,24,264.3426465988159,6,0,14,24.428917936115905,130.0,244.28917936115906
14,104,360.29,24,24,279.40712451934814,6,0,17,23.48812176407083,90.0,234.88121764070831
15,105,332.347,24,24,290.7858180999756,2,0,22,11.19028226300939,110.0,111.90282263009391
16,106,259.597,24,24,280.27184772491455,8,0,5,17.046920901099906,90.0,170.46920901099907
17,107,304.204,24,24,265.7863759994507,9,0,8,16.189374174724257,120.0,161.8937417472426
18,108,290.201,24,24,251.00728511810303,11,0,4,18.321177236799063,140.0,183.21177236799068
19,109,327.205,24,24,264.8036707639694,6,0,15,21.16053838698643,130.0,211.6053838698643
20,110,269.005,24,24,238.83766651153564,12,0,4,21.103865973316893,160.0,211.03865973316897
21,101,332.978,24,24,267.9878296852112,2,0,10,31.686950997915247,140.0,316.86950997915244
22,102,358.078,24,24,268.82458996772766,2,0,19,38.62568724557122,120.0,386.2568724557123
23,103,301.117,24,24,250.70982599258423,7,0,8,22.983621548858842,160.0,229.83621548858844
24,104,344.566,24,24,245.71146655082703,15,0,16,27.980885013104423,100.0,279.80885013104427
25,105,353.913,24,24,274.75693798065186,7,0,17,12.905089552982147,110.0,129.0508955298215
26,106,341.738,24,24,254.93169403076172,8,0,19,20.947153407046162,140.0,209.4715340704616
27,107,325.313,24,24,266.0477089881897,6,0,12,14.920471875511698,140.0,149.20471875511697
28,108,428.091,24,24,255.40143537521362,4,0,19,28.497608668823787,150.0,284.97608668823784
29,109,303.558,24,24,274.86037254333496,4,0,7,26.066022585315096,120.0,260.6602258531509
30,110,314.595,24,24,267.1129775047302,5,0,10,18.145028328289786,140.0,181.45028328289789
31,101,318.893,24,24,286.0257136821747,1,0,11,17.457128008180597,120.0,174.571280081806
32,102,283.461,24,24,259.33952045440674,7,0,4,23.600789249249548,140.0,236.00789249249556
33,103,464.943,24,24,268.6480474472046,2,0,43,27.253230634303478,130.0,272.53230634303475
34,104,291.98,24,24,268.5004725456238,10,0,13,17.499215785418432,100.0,174.99215785418434
35,105,259.63,24,24,276.9486207962036,6,0,4,13.418950039047964,120.0,134.18950039047965
36,106,304.982,24,24,263.6127018928528,6,0,11,23.145498529649167,130.0,231.45498529649166
37,107,295.091,24,24,269.2608222961426,10,0,16,16.23196628478314,100.0,162.3196628478314
