ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,101,274.655,24,24,261.3349254131317,4,0,2,17.216900931161526,180.0,172.16900931161527
2,102,292.337,24,24,262.69178581237793,9,0,7,26.02737887250344,130.0,260.2737887250344
3,103,337.356,24,24,241.62056970596313,10,0,14,26.26474451364908,170.0,262.6474451364909
4,104,270.224,24,24,297.7313404083252,4,0,6,12.562193651706881,90.0,125.62193651706879
5,105,291.712,24,24,285.2688181400299,5,0,9,12.43728427733638,110.0,124.3728427733638
6,106,285.877,24,24,254.73695755004883,12,0,6,20.87676892203814,130.0,208.76768922038133
7,107,388.157,24,24,262.07056045532227,8,0,33,13.098113083903643,140.0,130.98113083903644
8,108,375.338,24,24,254.7061891555786,6,0,19,24.31266652501054,170.0,243.12666525010533
9,109,481.078,24,24,272.38626050949097,2,0,29,28.712472043142565,140.0,287.1247204314257
10,110,299.471,24,24,271.44689655303955,7,0,13,15.177007468027888,130.0,151.77007468027887
11,101,281.441,24,24,263.9137649536133,13,0,10,11.954107350812034,110.0,119.54107350812035
12,102,282.629,24,24,284.1962957382202,5,0,4,24.345671580461293,110.0,243.45671580461297
13,103,395.254,24,24,249.12149095535278,7,0,17,26.261681235027392,170.0,262.6168123502739
14,104,296.287,24,24,287.7618565559387,6,0,8,25.79381481542878,90.0,257.9381481542878
15,105,294.213,24,24,281.5046262741089,7,0,22,8.317908960192623,110.0,83.17908960192622
16,106,290.74,24,24,271.37793922424316,8,0,5,18.74018040039151,120.0,187.40180400391512
17,107,356.366,24,24,260.2348837852478,10,0,17,17.550369007473513,130.0,175.50369007473518
18,108,311.159,24,24,249.40886735916138,11,0,11,26.970443461396673,150.0,269.70443461396667
19,109,345.143,24,24,272.23591232299805,6,0,28,19.213602116222347,130.0,192.13602116222347
20,110,291.353,24,24,260.4391784667969,11,0,3,16.869395878296523,130.0,168.69395878296524
21,101,317.081,24,24,270.65669536590576,5,0,21,19.477670576131953,140.0,194.77670576131953
22,102,292.397,24,24,247.3805537223816,12,0,11,18.731489219672135,150.0,187.31489219672133
23,103,291.981,24,24,265.23011207580566,7,0,6,37.56629485363378,130.0,375.66294853633775
24,104,284.318,24,24,261.5887098312378,15,0,11,23.037638878380186,90.0,230.37638878380184
25,105,325.802,24,24,270.85317039489746,6,0,11,13.822732895191548,140.0,138.22732895191547
26,106,259.679,24,24,288.5250053405762,5,0,8,23.24998797353098,100.0,232.4998797353098
27,107,504.148,24,24,247.7466917037964,10,0,61,12.510997333027124,150.0,125.10997333027126
28,108,459.963,24,24,241.88718223571777,9,0,27,25.376058685312447,170.0,253.76058685312455
29,109,348.7,24,24,265.8520747423172,6,0,11,25.49306526747001,140.0,254.93065267470013
30,110,278.428,24,24,292.0981798171997,2,0,2,16.339394539238864,120.0,163.39394539238862
31,101,281.923,24,24,295.6266746520996,1,0,7,12.91105948905491,120.0,129.1105948905491
32,102,315.572,24,24,249.62214612960815,12,0,11,26.259525805917132,140.0,262.5952580591713
33,103,321.775,24,24,241.61563396453857,13,0,6,27.94787511697836,150.0,279.4787511697836
34,104,448.056,24,24,287.4729542732239,4,0,27,25.090160830297833,90.0,250.90160830297833
35,105,302.376,24,24,283.43519115448,6,0,16,11.88269605454439,110.0,118.82696054544388
36,106,317.252,24,24,267.88937389850616,9,0,15,28.702073300250728,110.0,287.02073300250726
37,107,364.246,24,24,258.5163187980652,13,0,17,19.94557300303453,110.0,199.45573003034525
38,108,451.692,24,24,258.74914026260376,7,0,23,29.169532522624788,140.0,291.69532522624786
39,109,441.406,24,24,276.4959406852722,3,0,27,23.346843220364732,130.0,233.46843220364738
40,110,304.866,24,24,268.92562103271484,9,0,9,16.914567874244636,120.0,169.1456787424464
41,101,335.066,24,24,290.9637608528137,1,0,6,23.454113445467865,120.0,234.54113445467868
42,102,292.319,24,24,276.2584648132324,7,0,13,14.138451348049198,120.0,141.38451348049196
43,103,324.145,24,24,277.1568868160248,4,0,16,21.143709131406982,130.0,211.4370913140698
44,104,323.971,24,24,267.6224617958069,9,0,24,16.25846257015131,120.0,162.58462570151306
45,105,256.932,24,24,275.48301792144775,9,0,4,15.05661818442287,110.0,150.5661818442287
46,106,329.748,24,24,270.1928586959839,8,0,19,17.69044167399222,120.0,176.90441673992223
47,107,269.176,24,24,276.25436305999756,10,0,6,15.818792881218009,100.0,158.1879288121801
48,108,291.489,24,24,257.34777212142944,12,0,9,25.507425827148598,120.0,255.07425827148603
49,109,415.07,24,24,261.12709379196167,6,0,25,22.909653347838372,150.0,229.09653347838378
50,110,341.167,24,24,272.82382678985596,5,0,17,12.253911754116045,140.0,122.53911754116044
51,101,282.106,24,24,280.968807220459,3,0,4,16.770622754914775,140.0,167.70622754914777
52,102,320.446,24,24,248.74187231063843,13,0,13,17.52708964833631,140.0,175.2708964833631
53,103,420.755,24,24,242.26302003860474,11,0,20,22.45658196667671,160.0,224.56581966676714
54,104,367.87,24,24,290.65346813201904,2,0,12,22.821764370759524,110.0,228.21764370759522
55,105,267.283,24,24,274.00763607025146,10,0,3,9.974517778749185,110.0,99.74517778749184
56,106,283.891,24,24,273.48609924316406,6,0,9,18.379632313870637,130.0,183.7963231387064
57,107,423.483,24,24,278.766836643219,6,0,33,12.44388158224757,110.0,124.43881582247569
58,108,285.776,24,24,268.5828104019165,7,0,1,29.723920469931784,130.0,297.2392046993178
59,109,296.321,24,24,253.63068103790283,8,0,8,24.564381783368663,160.0,245.64381783368657
60,110,368.716,24,24,285.40293407440186,3,0,19,11.990209231173907,120.0,119.90209231173907
